county,precinct,office,district,party,candidate,votes
Wayne,1,President,,REP,Donald J. Trump,630
Wayne,1,President,,DEM,Hillary Clinton,103
Wayne,1,President,,LIB,Gary Johnson,11
Wayne,1,President,,GRN,Jill Stein,6
Wayne,1,President,,CON,Darrell L. Castle,3
Wayne,5,President,,REP,Donald J. Trump,402
Wayne,5,President,,DEM,Hillary Clinton,101
Wayne,5,President,,LIB,Gary Johnson,10
Wayne,5,President,,GRN,Jill Stein,2
Wayne,5,President,,CON,Darrell L. Castle,4
Wayne,6,President,,REP,Donald J. Trump,184
Wayne,6,President,,DEM,Hillary Clinton,31
Wayne,6,President,,LIB,Gary Johnson,2
Wayne,6,President,,GRN,Jill Stein,1
Wayne,6,President,,CON,Darrell L. Castle,3
Wayne,11,President,,REP,Donald J. Trump,172
Wayne,11,President,,DEM,Hillary Clinton,82
Wayne,11,President,,LIB,Gary Johnson,9
Wayne,11,President,,GRN,Jill Stein,2
Wayne,11,President,,CON,Darrell L. Castle,1
Wayne,12,President,,REP,Donald J. Trump,193
Wayne,12,President,,DEM,Hillary Clinton,87
Wayne,12,President,,LIB,Gary Johnson,5
Wayne,12,President,,GRN,Jill Stein,3
Wayne,12,President,,CON,Darrell L. Castle,2
Wayne,13,President,,REP,Donald J. Trump,305
Wayne,13,President,,DEM,Hillary Clinton,133
Wayne,13,President,,LIB,Gary Johnson,17
Wayne,13,President,,GRN,Jill Stein,5
Wayne,13,President,,CON,Darrell L. Castle,2
Wayne,14,President,,REP,Donald J. Trump,605
Wayne,14,President,,DEM,Hillary Clinton,173
Wayne,14,President,,LIB,Gary Johnson,27
Wayne,14,President,,GRN,Jill Stein,7
Wayne,14,President,,CON,Darrell L. Castle,5
Wayne,16,President,,REP,Donald J. Trump,205
Wayne,16,President,,DEM,Hillary Clinton,59
Wayne,16,President,,LIB,Gary Johnson,7
Wayne,16,President,,GRN,Jill Stein,0
Wayne,16,President,,CON,Darrell L. Castle,3
Wayne,17,President,,REP,Donald J. Trump,266
Wayne,17,President,,DEM,Hillary Clinton,104
Wayne,17,President,,LIB,Gary Johnson,10
Wayne,17,President,,GRN,Jill Stein,4
Wayne,17,President,,CON,Darrell L. Castle,5
Wayne,18,President,,REP,Donald J. Trump,305
Wayne,18,President,,DEM,Hillary Clinton,57
Wayne,18,President,,LIB,Gary Johnson,13
Wayne,18,President,,GRN,Jill Stein,1
Wayne,18,President,,CON,Darrell L. Castle,1
Wayne,19,President,,REP,Donald J. Trump,436
Wayne,19,President,,DEM,Hillary Clinton,108
Wayne,19,President,,LIB,Gary Johnson,20
Wayne,19,President,,GRN,Jill Stein,3
Wayne,19,President,,CON,Darrell L. Castle,4
Wayne,20,President,,REP,Donald J. Trump,255
Wayne,20,President,,DEM,Hillary Clinton,113
Wayne,20,President,,LIB,Gary Johnson,16
Wayne,20,President,,GRN,Jill Stein,2
Wayne,20,President,,CON,Darrell L. Castle,0
Wayne,21,President,,REP,Donald J. Trump,217
Wayne,21,President,,DEM,Hillary Clinton,60
Wayne,21,President,,LIB,Gary Johnson,3
Wayne,21,President,,GRN,Jill Stein,1
Wayne,21,President,,CON,Darrell L. Castle,1
Wayne,22,President,,REP,Donald J. Trump,304
Wayne,22,President,,DEM,Hillary Clinton,109
Wayne,22,President,,LIB,Gary Johnson,12
Wayne,22,President,,GRN,Jill Stein,2
Wayne,22,President,,CON,Darrell L. Castle,6
Wayne,30,President,,REP,Donald J. Trump,484
